ID,Question,Answer
24,"I have back pain. Who should I consult?","Dr. Adam Johnson, an Orthopedic Specialist, can help with back pain and related issues."
25,"Who provides pregnancy care?","Dr. Sarah Miller is an Obstetrician. You can schedule an appointment for prenatal and pregnancy care."
26,"Who is available for acupuncture?","Dr. Jack Turner is an Acupuncturist. You can book an appointment for acupuncture therapy."
27,"Can I book an appointment with Dr. Helen Gray for psychiatric consultation?","Yes, Dr. Helen Gray is a Psychiatrist. Please provide your preferred date and time."
28,"Who can help with sleep disorders?","Dr. David Thompson is a Sleep Specialist. You can book an appointment for sleep assessment and treatment."
29,"Who provides dental cleaning services?","Dr. John Smith is available for dental cleaning and oral hygiene services."
30,"I need a blood test. Who should I contact?","Dr. Lisa Evans can help with general diagnostic tests, including blood tests."
31,"Who can help with fertility issues?","Dr. Emma Richards is a Fertility Specialist. You can schedule an appointment for fertility consultation."
32,"What services does Dr. Peter Fox offer?","Dr. Peter Fox is a Chiropractor. You can book an appointment for spinal adjustments and chiropractic care."
33,"Who is available for occupational therapy?","Dr. Laura Bell is an Occupational Therapist. You can book an appointment for occupational therapy sessions."
34,"Can I book an appointment with Dr. Michelle Green for pediatric dentistry?","Yes, Dr. Michelle Green is a Pediatric Dentist. Please provide your preferred date and time."
35,"Who can help with asthma treatment?","Dr. Rebecca Adams, an Allergist, can help with asthma treatment."
36,"Who provides ENT services?","Dr. Paul Harris is an ENT Specialist. You can book an appointment for ear, nose, and throat-related issues."
37,"I need a consultation for migraines. Who should I see?","Dr. David Lee, a Neurologist, can help with migraine assessments and treatment."
38,"Who is available for geriatric care?","Dr. Anna Scott is a Geriatrician. You can schedule an appointment for elderly healthcare needs."
39,"Can I book a vision test with Dr. Clara Hughes?","Yes, Dr. Clara Hughes is available for vision testing. Please provide your preferred date and time."
40,"Who can help with digestive issues?","Dr. James Morgan, a Gastroenterologist, can help with digestive health and related concerns."
41,"I need to see a specialist for kidney issues. Who is available?","Dr. Jason King, a Urologist, is available for kidney and urinary tract issues."
42,"Who provides cancer screenings?","Dr. Henry Walker, a Cardiologist, also provides general cancer screenings."
43,"Can I schedule a massage therapy session?","Yes, Dr. Kevin Wright offers massage therapy services. Please provide your preferred date and time."
44,"Who can help with speech therapy?","Dr. Julia Ray is a Speech Therapist. You can book an appointment for speech and language therapy."
45,"I need a prescription refill. Who can help?","You can contact Dr. Lisa Evans or Dr. Emily Carter for prescription refills."
46,"Who is available for foot care?","Dr. William Black is a Podiatrist specializing in foot care."
47,"Can I book a stress management session with Dr. Susan White?","Yes, Dr. Susan White is available for stress management counseling."
48,"Who can provide genetic counseling?","Dr. Jane Hill is a Genetic Counselor. You can schedule an appointment for genetic consultation."
49,"Who offers sports injury treatment?","Dr. Michael Allen, a Physical Therapist, provides sports injury treatment and rehabilitation."
50,"I need a consultation for skin rash. Who should I see?","Dr. Natalie Brooks, a Dermatologist, can help with skin rashes and related conditions."
51,"Who is available for flu shots?","Dr. Lisa Evans is available for flu shots and other vaccinations."
52,"Can I book an appointment for heart screening with Dr. Henry Walker?","Yes, Dr. Henry Walker is available for heart screenings. Please provide your preferred date and time."
53,"Who provides mental health support for adolescents?","Dr. Susan White, a Psychologist, provides mental health counseling for adolescents."
54,"Who can help with high blood pressure?","Dr. Charles White, an Endocrinologist, can help with high blood pressure management."
55,"Who offers family counseling services?","Dr. Susan White provides family counseling services."
56,"Can I schedule an appointment for earwax removal?","Yes, Dr. Paul Harris, an ENT Specialist, is available for earwax removal."
57,"Who can help with post-surgery rehabilitation?","Dr. Michael Allen, a Physical Therapist, is available for post-surgery rehabilitation."
58,"Who is available for arthritis and joint pain treatment?","Dr. Olivia Clark, a Rheumatologist, can help with arthritis and joint pain."
59,"I need nutritional advice for weight loss. Who can help?","Dr. Emily Brown, a Nutritionist, is available for weight loss guidance and nutritional counseling."
60,"Who provides asthma management for children?","Dr. Rachel Green, a Pediatrician, can help with asthma management for children."
61,"Can I book a hearing test with Dr. Paul Harris?","Yes, Dr. Paul Harris is available for hearing tests. Please provide your preferred date and time."
62,"Who can provide travel vaccination?","Dr. Lisa Evans offers travel vaccinations."
63,"Who is available for prenatal care?","Dr. Sarah Miller, an Obstetrician, provides prenatal care services."
64,"I need help with smoking cessation. Who can assist?","Dr. Helen Gray, a Psychiatrist, offers smoking cessation counseling."
65,"Who can provide speech and language development support for children?","Dr. Julia Ray, a Speech Therapist, is available for children's language development."
66,"Can I schedule a cholesterol test?","Yes, Dr. Henry Walker offers cholesterol testing. Please provide your preferred date and time."
67,"Who is available for eye surgery consultations?","Dr. Clara Hughes is available for eye surgery consultations."
68,"I need therapy for anxiety. Who can I see?","Dr. Susan White, a Psychologist, provides therapy for anxiety."
69,"Who can help with rehabilitation after a stroke?","Dr. Michael Allen, a Physical Therapist, provides post-stroke rehabilitation services."
70,"Can I book an appointment for acupuncture with Dr. Jack Turner?","Yes, Dr. Jack Turner is available for acupuncture therapy."
71,"Who provides gynecology services?","Dr. Sarah Miller, an Obstetrician-Gynecologist, offers gynecology services."
72,"Who can help with pain management?","Dr. Helen Gray, a Psychiatrist, provides pain management services."
73,"Who is available for scoliosis treatment?","Dr. Adam Johnson, an Orthopedic Specialist, is available for scoliosis treatment."
74,"Can I book an appointment for hormonal imbalance?","Yes, Dr. Charles White, an Endocrinologist, is available for hormonal imbalance consultations."
75,"Who can provide ear infection treatment for children?","Dr. Rachel Green, a Pediatrician, is available for treating ear infections in children."
76,"I need help with acne treatment. Who should I see?","Dr. Natalie Brooks, a Dermatologist, is available for acne treatment."
77,"Who provides general health check-ups for elderly patients?","Dr. Anna Scott, a Geriatrician, provides general health check-ups for elderly patients."
78,"Can I book a cancer risk assessment with Dr. Henry Walker?","Yes, Dr. Henry Walker is available for cancer risk assessments. Please provide your preferred date and time."
79,"Who is available for hearing aid fitting?","Dr. Paul Harris, an ENT Specialist, provides hearing aid fitting services."
80,"Who can help with knee replacement rehabilitation?","Dr. Michael Allen, a Physical Therapist, is available for knee replacement rehabilitation."
81,"Can I schedule a stress test for my heart?","Yes, Dr. Henry Walker offers stress tests for cardiac health."
82,"Who is available for adolescent counseling?","Dr. Susan White is available for adolescent counseling and mental health support."
83,"I need an orthopedic specialist for joint pain. Who should I see?","Dr. Adam Johnson is available for joint pain consultations."
84,"Who can help with hypertension management?","Dr. Charles White, an Endocrinologist, can help with hypertension management."
85,"Can I book an appointment with Dr. Jason King for kidney stones?","Yes, Dr. Jason King is available for kidney stone treatment."
86,"Who provides speech therapy for stuttering?","Dr. Julia Ray, a Speech Therapist, provides speech therapy for stuttering."
87,"Who can help with chronic pain management?","Dr. Helen Gray, a Psychiatrist, can help with chronic pain management."
88,"Can I book a health screening with Dr. Lisa Evans?","Yes, Dr. Lisa Evans is available for general health screenings. Please provide your preferred date and time."
89,"Who is available for bronchitis treatment?","Dr. Rebecca Adams, an Allergist, is available for bronchitis treatment."
90,"Who can help with weight gain issues?","Dr. Emily Brown, a Nutritionist, is available for weight gain counseling."
91,"Can I book a prenatal ultrasound with Dr. Sarah Miller?","Yes, Dr. Sarah Miller is available for prenatal ultrasounds. Please provide your preferred date and time."
92,"Who is available for facial skin treatment?","Dr. Natalie Brooks, a Dermatologist, provides facial skin treatments."
93,"Who can provide fertility testing for males?","Dr. Jason King, a Urologist, is available for fertility testing."
94,"I need an orthopedic consultation for a sports injury. Who should I contact?","Dr. Adam Johnson, an Orthopedic Specialist, is available for sports injury consultations."
95,"Can I book an appointment for diabetic check-up?","Yes, Dr. Charles White is available for diabetic check-ups."
96,"Who provides birth control counseling?","Dr. Sarah Miller, an Obstetrician-Gynecologist, provides birth control counseling."
97,"Who can help with neck pain?","Dr. Adam Johnson, an Orthopedic Specialist, is available for neck pain treatment."
98,"Can I schedule a child vaccination?","Yes, Dr. Rachel Green is available for child vaccinations. Please provide your preferred date and time."
99,"Who is available for arthritis care?","Dr. Olivia Clark, a Rheumatologist, is available for arthritis care."
100,"Who can help with emotional support for cancer patients?","Dr. Helen Gray, a Psychiatrist, provides emotional support for cancer patients."
